,日期,片名,实时票房,票房占比,排片占比,上座率,排座占比,场次,人次,场均人次,场均收入,平均票价
0,2018-01-01,前任3：再见前任,1.24亿,33.77,20.55,76.35,22.33,6.48万,351.53万,55,1912,35
1,2018-01-01,芳华,6299.2万,17.16,14.76,47.93,18.23,4.66万,180.16万,39,1352,34
2,2018-01-01,妖铃铃,5009.5万,13.64,18.22,39.32,17.73,5.75万,143.76万,26,871,34
3,2018-01-01,二代妖精之今生有幸,3733.5万,10.17,13.94,39.68,12.89,4.40万,105.50万,24,848,35
4,2018-01-01,解忧杂货店,3225.8万,8.79,14.03,38.7,12.28,4.43万,97.96万,23,728,32
5,2018-01-01,妖猫传,2124.7万,5.79,5.72,46.98,5.92,1.80万,57.34万,32,1177,37
6,2018-01-01,寻梦环游记,2106万,5.74,4.94,62.62,4.92,1.56万,63.49万,41,1351,33
7,2018-01-01,机器之血,565.9万,1.54,1.72,54.43,1.39,5440,15.57万,29,1040,36
8,2018-01-01,帕丁顿熊2,329.7万,0.9,0.79,79.36,0.62,2490,10.21万,42,1324,32
9,2018-01-01,心理罪之城市之光,289.7万,0.79,1.11,56.87,0.68,3509,7.98万,23,825,36
10,2018-01-01,小猫巴克里,276万,0.75,1.51,35.51,1.33,4774,9.70万,21,578,28
11,2018-01-01,咕噜咕噜美人鱼2,240.7万,0.66,1.88,33.18,1.31,5924,8.98万,16,406,26
12,2018-01-01,至爱梵高·星空之谜,59.9万,0.16,0.21,58.22,0.14,652,1.70万,27,919,35
13,2018-01-01,奇门遁甲,14万,0.04,0.16,23.76,0.08,519,3875,8,268,36
14,2018-01-01,妈妈咪鸭,12.6万,0.03,0.01,100.0,0.0,26,3615,140,4861,34
15,2018-01-01,至暗时刻,8.3万,0.02,0.01,100.0,0.0,46,1668,37,1797,49
16,2018-01-01,正义联盟,3.3万,0.01,0.01,98.78,0.0,37,649,18,890,50
17,2018-01-01,相声大电影之我要幸福,2.1万,0.01,0.0,100.0,0.0,11,943,86,1890,22
18,2018-01-01,东方快车谋杀案,2万,0.01,0.01,42.99,0.0,16,414,26,1259,48
19,2018-01-01,惊魂七夜,1.9万,0.01,0.03,12.79,0.03,98,688,8,193,27
20,2018-01-02,前任3：再见前任,9368万,57.29,23.57,48.23,26.86,6.68万,268.21万,41,1402,34
21,2018-01-02,芳华,2065.8万,12.63,15.52,15.83,18.44,4.40万,60.44万,14,469,34
22,2018-01-02,妖铃铃,1514.2万,9.26,18.04,12.54,16.89,5.11万,43.87万,9,296,34
23,2018-01-02,二代妖精之今生有幸,1351.4万,8.26,14.21,14.6,12.73,4.03万,38.47万,10,335,35
24,2018-01-02,解忧杂货店,844.6万,5.17,13.68,10.27,11.92,3.88万,25.35万,7,217,33
25,2018-01-02,妖猫传,629.3万,3.85,5.92,13.79,6.05,1.68万,17.27万,11,374,36
26,2018-01-02,寻梦环游记,192.8万,1.18,2.91,9.92,2.76,8258,5.66万,7,233,34
27,2018-01-02,机器之血,179万,1.09,2.11,14.58,1.65,5977,4.99万,9,299,35
28,2018-01-02,心理罪之城市之光,126.1万,0.77,1.41,18.08,0.94,3987,3.51万,9,316,35
29,2018-01-02,帕丁顿熊2,28万,0.17,0.47,11.36,0.36,1322,8415,7,211,33
30,2018-01-02,至爱梵高·星空之谜,16万,0.1,0.19,17.14,0.13,549,4782,9,292,33
31,2018-01-02,咕噜咕噜美人鱼2,8.9万,0.05,0.72,3.12,0.49,2038,3186,2,43,27
32,2018-01-02,小猫巴克里,8.8万,0.05,0.68,2.55,0.58,1921,3065,2,45,28
33,2018-01-02,奇门遁甲,6.4万,0.04,0.2,9.69,0.09,563,1764,4,113,36
34,2018-01-02,至暗时刻,2.7万,0.02,0.01,51.24,0.01,37,620,17,732,43
35,2018-01-02,圣诞奇妙公司,1.7万,0.01,0.01,73.75,0.0,15,725,49,1128,23
36,2018-01-02,惊魂七夜,1.6万,0.01,0.04,7.99,0.03,117,555,5,133,28
37,2018-01-02,七十七天,0.8万,0.01,0.0,100.0,0.0,11,291,27,756,28
38,2018-01-02,邹碧华,0.7万,0.0,0.0,48.26,0.0,2,139,70,3468,49
39,2018-01-03,前任3：再见前任,1.09亿,66.88,27.59,47.4,32.26,7.73万,311.68万,41,1411,34
40,2018-01-03,芳华,1638.1万,10.05,15.44,13.18,17.82,4.32万,47.86万,12,378,34
41,2018-01-03,二代妖精之今生有幸,1084.2万,6.65,13.59,12.63,11.93,3.80万,30.72万,9,284,35
42,2018-01-03,妖铃铃,1052.6万,6.46,16.63,9.89,15.04,4.66万,30.32万,7,226,34
43,2018-01-03,解忧杂货店,646.2万,3.96,12.16,9.25,10.2,3.40万,19.22万,6,189,33
44,2018-01-03,妖猫传,509.7万,3.13,5.88,11.53,5.9,1.65万,13.87万,9,309,36
45,2018-01-03,寻梦环游记,156万,0.96,2.72,8.86,2.53,7611,4.57万,7,205,34
46,2018-01-03,机器之血,145.3万,0.89,2.18,11.51,1.73,6093,4.06万,7,238,35
47,2018-01-03,心理罪之城市之光,101.5万,0.62,1.43,14.01,0.99,3998,2.84万,8,253,35
48,2018-01-03,帕丁顿熊2,21.8万,0.13,0.44,9.61,0.34,1226,6604,6,177,33
49,2018-01-03,至爱梵高·星空之谜,14.1万,0.09,0.21,12.84,0.16,588,4068,7,240,34
50,2018-01-03,小猫巴克里,6.9万,0.04,0.57,2.42,0.49,1583,2415,2,43,28
51,2018-01-03,奇门遁甲,5.1万,0.03,0.2,7.11,0.1,572,1493,3,88,33
52,2018-01-03,咕噜咕噜美人鱼2,5万,0.03,0.57,2.38,0.38,1601,1849,2,31,27
53,2018-01-03,至暗时刻,3.2万,0.02,0.02,41.91,0.01,51,676,14,620,46
54,2018-01-03,巨额来电,2.2万,0.01,0.02,100.0,0.01,49,2019,42,454,11
55,2018-01-03,邹碧华,1.4万,0.01,0.01,35.84,0.0,14,253,19,974,53
56,2018-01-03,惊魂七夜,1.4万,0.01,0.05,6.9,0.04,126,513,5,110,27
57,2018-01-03,北平以北,0.7万,0.0,0.0,100.0,0.0,7,300,43,1038,24
58,2018-01-04,前任3：再见前任,1.15亿,69.79,31.41,42.77,36.38,8.82万,328.85万,38,1307,35
59,2018-01-04,芳华,1433.5万,8.67,14.93,12.06,16.46,4.19万,41.97万,11,341,34
